direction,entry_price,entry,entry_ts,entry_bar,stop,target,qty,atr,score,zone,exit_price,exit_ts,exit_reason,pnl,fee,win,month
short,17285.75,17285.75,2024-04-19 12:55:00,3964,17305.585252564382,17233.39136346029,2.546987191666498,14.54406570547525,7,17285.0625,17305.585252564382,2024-04-19 13:05:00,stop,-68.1307677642913,17.61063353933967,False,2024-04
long,17256.05,17256.05,2024-04-23 11:10:00,4489,17248.624774715783,17302.963513778977,2.819649623336608,13.031531605271432,6,17285.0625,17248.624774715783,2024-04-23 11:30:00,stop,-40.39893962894057,19.46240595311107,False,2024-04
long,17252.55,17252.55,2024-04-23 12:10:00,4501,17241.30568005273,17292.799439762708,3.269060395263372,11.180399934086003,6,17285.0625,17241.30568005273,2024-04-23 12:20:00,stop,-59.318212180207794,22.559851168920435,False,2024-04
long,17254.05,17254.05,2024-04-23 13:10:00,4513,17273.256525930592,17298.570633312338,2.9332349029031706,12.366842586760937,6,17285.0625,17273.256525930592,2024-04-23 14:15:00,stop,36.0931795525549,20.24407267057458,True,2024-04
long,17283.15,17283.15,2024-04-23 14:10:00,4525,17265.55601083044,17318.337978339125,3.707168560956455,9.774438427534156,6,17285.0625,17265.55601083044,2024-04-23 14:20:00,stop,-90.85250363691824,25.628620125717823,False,2024-04
long,17258.45,17258.45,2024-04-23 15:30:00,4541,17262.922346106658,17302.224442520044,2.958386873460502,12.15956736667916,6,17285.0625,17262.922346106658,2024-04-23 15:35:00,stop,-7.191938759003763,20.422868774509762,False,2024-04
short,17317.65,17317.65,2024-04-25 07:50:00,4995,17315.025927098908,17301.55832805491,8.032607758931382,4.469908873635983,8,17285.0625,17315.025927098908,2024-04-25 08:00:00,stop,-34.56420755725949,55.642355902583226,False,2024-04
short,17292.65,17292.65,2024-04-25 08:50:00,5007,17296.43384881554,17267.07268033007,5.019474095798967,7.104811019425108,9,17285.0625,17296.43384881554,2024-04-25 09:00:00,stop,-53.71293460110675,34.720003489087205,False,2024-04
short,17311.75,17311.75,2024-04-25 10:20:00,5025,17316.98500501674,17271.542477424657,3.1683044429219254,11.168756270928878,7,17285.0625,17316.98500501674,2024-04-25 10:30:00,stop,-38.525647429159314,21.939557775901456,False,2024-04
short,17289.25,17289.25,2024-04-25 15:30:00,5087,17291.747635002124,17186.21064249043,1.2295955594845274,28.622043752658413,9,17285.0625,17291.747635002124,2024-04-25 15:35:00,stop,-11.574594918552311,8.503514010727146,False,2024-04
long,17645.65,17645.65,2024-04-26 07:25:00,5263,17640.91062020068,17667.42720909694,5.8076848578713305,6.0492247491488165,8,17679.728125,17640.91062020068,2024-04-26 07:55:00,stop,-68.51697402113608,40.9921497249189,False,2024-04
long,17646.15,17646.15,2024-04-26 08:45:00,5279,17642.39462513579,17667.999186888956,5.731516942532753,6.0692185802648435,8,17679.728125,17642.39462513579,2024-04-26 08:50:00,stop,-61.97967773798865,40.45568307818974,False,2024-04
long,17656.15,17656.15,2024-04-26 09:45:00,5291,17641.902151631275,17686.51531765927,4.086177558127822,8.434810460907682,8,17679.728125,17641.902151631275,2024-04-26 10:00:00,stop,-87.07770381307338,28.85846555717542,False,2024-04
short,17683.45,17683.45,2024-04-30 15:30:00,5906,17697.781551439293,17615.358018523184,1.8013425339105813,18.914439299115337,6,17679.728125,17697.781551439293,2024-04-30 15:35:00,stop,-38.55761343703746,12.741580252512428,False,2024-04
short,17311.75,17311.75,2024-05-01 12:05:00,6138,17325.245331379472,17256.42100879237,2.2054980967324584,15.369164224341375,9,17285.0625,17325.245331379472,2024-05-01 12:25:00,stop,-45.036340342642994,15.272412670443254,False,2024-05
short,17313.65,17313.65,2024-05-01 13:05:00,6150,17314.476413757293,17273.48113809217,3.019517192878738,11.158017196619259,9,17285.0625,17314.476413757293,2024-05-01 13:10:00,stop,-23.40691608716703,20.911545538593987,False,2024-05
short,17437.05,17437.05,2024-05-02 07:00:00,6350,17435.695455179706,17421.09545169133,7.57254227243878,4.43181897463062,5,17430.35,17435.695455179706,2024-05-02 07:25:00,stop,-42.55977138106907,52.817119292651455,False,2024-05
short,17435.05,17435.05,2024-05-02 08:05:00,6363,17437.7654623228,17418.330419547387,7.168297985130937,4.644327903503148,6,17430.35,17437.7654623228,2024-05-02 08:30:00,stop,-69.45709661150063,49.99185351426286,False,2024-05
short,17430.75,17430.75,2024-05-02 10:05:00,6387,17435.120319573503,17393.533561919226,3.1848451559570705,10.337899466881513,5,17430.35,17435.120319573503,2024-05-02 10:15:00,stop,-36.12448700453605,22.20569588087948,False,2024-05
short,17460.45,17460.45,2024-05-02 11:50:00,6408,17456.91017008988,17420.129234595544,2.923243362867216,11.200212612348494,5,17430.35,17456.91017008988,2024-05-02 11:55:00,stop,-10.06867353962806,20.416457830069955,False,2024-05
short,17458.75,17458.75,2024-05-02 14:55:00,6445,17466.699916515852,17420.725375678656,3.0922996694522413,10.562395644817322,6,17430.35,17466.699916515852,2024-05-02 15:00:00,stop,-46.17859895576251,21.595074741619726,False,2024-05
short,17464.15,17464.15,2024-05-02 15:55:00,6457,17469.419007306013,17399.03946712294,1.79365552931157,18.08625913251654,6,17430.35,17469.419007306013,2024-05-02 16:25:00,stop,-21.980651773300693,12.529867684890664,False,2024-05
long,17658.35,17658.35,2024-05-03 07:00:00,6623,17652.44234780172,17674.13443489227,7.373746979673816,4.384565247853013,8,17679.728125,17652.44234780172,2024-05-03 07:30:00,stop,-95.64481454543102,52.08328199140925,False,2024-05
long,17644.85,17644.85,2024-05-03 08:00:00,6635,17643.640041264887,17660.194814308004,7.473978924289766,4.262448418890085,6,17679.728125,17643.640041264887,2024-05-03 08:20:00,stop,-61.79410089438377,52.75089480890171,False,2024-05
long,17647.65,17647.65,2024-05-03 09:10:00,6649,17634.863199511412,17673.223600977184,4.436310911404538,7.103778049217366,7,17679.728125,17634.863199511412,2024-05-03 09:15:00,stop,-88.04240743174182,31.316184902259323,False,2024-05
long,17646.55,17646.55,2024-05-03 11:00:00,6671,17640.23401899925,17679.47191450337,3.4020086544222585,9.144976250936597,7,17679.728125,17640.23401899925,2024-05-03 11:10:00,stop,-45.500508353993254,24.013486328278045,False,2024-05
long,17655.45,17655.45,2024-05-03 12:00:00,6683,17646.573528693163,17685.94412088076,3.646458180387488,8.47058913354401,9,17679.728125,17646.573528693163,2024-05-03 12:15:00,stop,-58.119625442161805,25.75194403236891,False,2024-05
