entry_ts,dir,entry_row
2025-12-12 15:00:00,long,"{'entry_ts': '2025-12-12 15:00:00', 'exit_ts': '2025-12-12 17:00:00', 'dir': 'long', 'entry': '25549.35', 'exit': '25485.99579902765', 'entry_price': '25549.35', 'exit_price': '25485.99579902765', 'entry_signal_price': '25549.35', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25328.373373176844', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.28670091440508544', 'fees': '0.0', 'pnl': '-6595.007071219526', 'win': 'False', 'exit_reason': 'stop', 'qty': '104.09739164886406', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-12 15:20:00,long,"{'entry_ts': '2025-12-12 15:20:00', 'exit_ts': '2025-12-12 17:20:00', 'dir': 'long', 'entry': '25570.45', 'exit': '25485.99579902765', 'entry_price': '25570.45', 'exit_price': '25485.99579902765', 'entry_signal_price': '25570.45', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25349.473373176847', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.38218612613695035', 'fees': '0.0', 'pnl': '-5860.974690007189', 'win': 'False', 'exit_reason': 'stop', 'qty': '69.3982610992427', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-12 15:40:00,long,"{'entry_ts': '2025-12-12 15:40:00', 'exit_ts': '2025-12-12 17:40:00', 'dir': 'long', 'entry': '25561.15', 'exit': '25485.99579902765', 'entry_price': '25561.15', 'exit_price': '25485.99579902765', 'entry_signal_price': '25561.15', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25340.173373176847', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.34010022712717863', 'fees': '0.0', 'pnl': '-5215.570861784282', 'win': 'False', 'exit_reason': 'stop', 'qty': '69.3982610992427', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-17 16:00:00,short,"{'entry_ts': '2025-12-17 16:00:00', 'exit_ts': '2025-12-17 17:50:00', 'dir': 'short', 'entry': '25211.85', 'exit': '24825.897745132403', 'entry_price': '25211.85', 'exit_price': '24825.897745132403', 'entry_signal_price': '25211.85', 'exit_signal_price': '24825.897745132403', 'stop_price': '24996.28938661235', 'stop_price_initial': '25508.736349898147', 'stop_price_exit': '24996.28938661235', 'initial_risk_price': '296.8863498981482', 'r_value': '1.3000000000000111', 'fees': '0.0', 'pnl': '14662.548772010803', 'win': 'True', 'exit_reason': 'tp', 'qty': '37.99057678012766', 'be_triggered': 'True', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-17 16:20:00,short,"{'entry_ts': '2025-12-17 16:20:00', 'exit_ts': '2025-12-17 17:55:00', 'dir': 'short', 'entry': '25192.35', 'exit': '24806.397745132403', 'entry_price': '25192.35', 'exit_price': '24806.397745132403', 'entry_signal_price': '25192.35', 'exit_signal_price': '24806.397745132403', 'stop_price': '24971.589386612348', 'stop_price_initial': '25489.236349898147', 'stop_price_exit': '24971.589386612348', 'initial_risk_price': '296.8863498981482', 'r_value': '1.3000000000000111', 'fees': '0.0', 'pnl': '9775.032514673869', 'win': 'True', 'exit_reason': 'tp', 'qty': '25.327051186751774', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-18 17:25:00,long,"{'entry_ts': '2025-12-18 17:25:00', 'exit_ts': '2025-12-18 19:25:00', 'dir': 'long', 'entry': '25088.95', 'exit': '25021.652849792266', 'entry_price': '25088.95', 'exit_price': '25021.652849792266', 'entry_signal_price': '25088.95', 'exit_signal_price': '25021.652849792266', 'stop_price': '25021.652849792266', 'stop_price_initial': '24814.1740933605', 'stop_price_exit': '25021.652849792266', 'initial_risk_price': '274.77590663950104', 'r_value': '-0.24491648860621001', 'fees': '0.0', 'pnl': '-5675.595366378307', 'win': 'False', 'exit_reason': 'stop', 'qty': '84.33634037784289', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-18 17:45:00,long,"{'entry_ts': '2025-12-18 17:45:00', 'exit_ts': '2025-12-18 21:00:00', 'dir': 'long', 'entry': '25140.05', 'exit': '25021.652849792266', 'entry_price': '25140.05', 'exit_price': '25021.652849792266', 'entry_signal_price': '25140.05', 'exit_signal_price': '25021.652849792266', 'stop_price': '25021.652849792266', 'stop_price_initial': '24865.2740933605', 'stop_price_exit': '25021.652849792266', 'initial_risk_price': '274.77590663950104', 'r_value': '-0.43088621435454655', 'fees': '0.0', 'pnl': '-6656.788239790638', 'win': 'False', 'exit_reason': 'stop', 'qty': '56.22422691856193', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-19 13:00:00,long,"{'entry_ts': '2025-12-19 13:00:00', 'exit_ts': '2025-12-22 01:05:00', 'dir': 'long', 'entry': '25120.95', 'exit': '25412.174040954826', 'entry_price': '25120.95', 'exit_price': '25412.174040954826', 'entry_signal_price': '25120.95', 'exit_signal_price': '25412.174040954826', 'stop_price': '25286.383470377506', 'stop_price_initial': '24896.931506957826', 'stop_price_exit': '25286.383470377506', 'initial_risk_price': '224.01849304217467', 'r_value': '1.2999999999999903', 'fees': '0.0', 'pnl': '24613.925138466086', 'win': 'True', 'exit_reason': 'tp', 'qty': '84.51886409434252', 'be_triggered': 'True', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-19 13:20:00,long,"{'entry_ts': '2025-12-19 13:20:00', 'exit_ts': '2025-12-22 01:05:00', 'dir': 'long', 'entry': '25098.95', 'exit': '25390.174040954826', 'entry_price': '25098.95', 'exit_price': '25390.174040954826', 'entry_signal_price': '25098.95', 'exit_signal_price': '25390.174040954826', 'stop_price': '25286.383470377506', 'stop_price_initial': '24874.931506957826', 'stop_price_exit': '25286.383470377506', 'initial_risk_price': '224.01849304217467', 'r_value': '1.2999999999999903', 'fees': '0.0', 'pnl': '16409.28342564406', 'win': 'True', 'exit_reason': 'tp', 'qty': '56.34590939622835', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-19 13:40:00,long,"{'entry_ts': '2025-12-19 13:40:00', 'exit_ts': '2025-12-22 01:05:00', 'dir': 'long', 'entry': '25118.95', 'exit': '25410.174040954826', 'entry_price': '25118.95', 'exit_price': '25410.174040954826', 'entry_signal_price': '25118.95', 'exit_signal_price': '25410.174040954826', 'stop_price': '25286.383470377506', 'stop_price_initial': '24894.931506957826', 'stop_price_exit': '25286.383470377506', 'initial_risk_price': '224.01849304217467', 'r_value': '1.2999999999999903', 'fees': '0.0', 'pnl': '16409.28342564406', 'win': 'True', 'exit_reason': 'tp', 'qty': '56.34590939622835', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
2025-12-22 17:10:00,short,"{'entry_ts': '2025-12-22 17:10:00', 'exit_ts': '2025-12-23 16:30:00', 'dir': 'short', 'entry': '25440.45', 'exit': '25477.515159482165', 'entry_price': '25440.45', 'exit_price': '25477.515159482165', 'entry_signal_price': '25440.45', 'exit_signal_price': '25477.515159482165', 'stop_price': '25477.515159482165', 'stop_price_initial': '25620.94717402906', 'stop_price_exit': '25477.515159482165', 'initial_risk_price': '180.49717402906026', 'r_value': '-0.20535035898233622', 'fees': '0.0', 'pnl': '-2481.4378314835153', 'win': 'False', 'exit_reason': 'stop', 'qty': '66.94798744026853', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-22/2025-12-28'}"
2025-12-22 17:30:00,short,"{'entry_ts': '2025-12-22 17:30:00', 'exit_ts': '2025-12-23 16:30:00', 'dir': 'short', 'entry': '25435.75', 'exit': '25477.515159482165', 'entry_price': '25435.75', 'exit_price': '25477.515159482165', 'entry_signal_price': '25435.75', 'exit_signal_price': '25477.515159482165', 'stop_price': '25477.515159482165', 'stop_price_initial': '25616.24717402906', 'stop_price_exit': '25477.515159482165', 'initial_risk_price': '180.49717402906026', 'r_value': '-0.23138954782439547', 'fees': '0.0', 'pnl': '-1864.0622483018842', 'win': 'False', 'exit_reason': 'stop', 'qty': '44.63199162684569', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-22/2025-12-28'}"
