direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
long,2024-09-05 13:40:00+00:00,2514.12,2024-09-05 14:00:00+00:00,2517.1157142857137,full_2r,28.829802643837525,54.622432839419936,10.151955886420279,1.4978571428569012,True
long,2024-09-06 08:42:00+00:00,2520.0,2024-09-06 08:54:00+00:00,2520.0,stop_be,39.58259803122101,7.761757443967831,13.966261546744121,1.097857142857265,True
short,2024-09-09 14:33:00+00:00,2497.26,2024-09-09 14:47:00+00:00,2498.45,stop_loss,36.550291402233924,-56.276472706917524,12.78162593827378,1.1899999999995998,False
long,2024-09-11 11:01:00+00:00,2521.73,2024-09-11 11:42:00+00:00,2524.9885714285715,full_2r,26.522950533604458,55.45193838702632,9.368258220637427,1.6292857142857429,True
long,2024-09-12 15:03:00+00:00,2519.75,2024-09-12 15:20:00+00:00,2522.7542857142853,full_2r,28.95245541410872,55.01810668537818,10.217979460188252,1.502142857142644,True
long,2024-09-13 08:37:00+00:00,2569.34,2024-09-13 08:46:00+00:00,2567.6807142857147,stop_loss,26.376298098436504,-53.250505909320204,9.484691278849025,1.6592857142854882,False
long,2024-09-16 07:43:00+00:00,2585.11,2024-09-16 07:54:00+00:00,2585.995714285715,full_2r,67.3078702274558,20.34877205865034,24.362884592483333,0.44285714285751965,True
long,2024-09-16 15:11:00+00:00,2582.21,2024-09-16 15:18:00+00:00,2580.152142857143,stop_loss,21.187722438637188,-51.25781469595881,7.6565087347409815,2.0578571428568466,False
long,2024-09-16 15:31:00+00:00,2582.18,2024-09-16 16:37:00+00:00,2582.18,stop_be,11.514805245320037,17.508329395107477,4.1641790487615395,3.7642857142855064,True
short,2024-09-17 08:48:00+00:00,2578.87,2024-09-17 09:00:00+00:00,2579.7935714285713,stop_loss,47.026745513223226,-60.41421966204703,16.981661127333464,0.9235714285714494,False
short,2024-09-17 09:02:00+00:00,2579.72,2024-09-17 09:04:00+00:00,2580.712142857143,stop_loss,43.472053571587885,-58.83390821608142,15.703420779678083,0.9921428571433353,False
short,2024-09-18 08:33:00+00:00,2566.66,2024-09-18 08:44:00+00:00,2567.938571428572,stop_loss,33.50326539297706,-54.87812519907099,12.041807303748062,1.2785714285719223,False
short,2024-09-18 08:34:00+00:00,2566.09,2024-09-18 09:00:00+00:00,2568.053571428571,stop_loss,21.800185239287455,-50.64099053657596,7.834769663156779,1.9635714285709582,False
long,2024-09-19 08:35:00+00:00,2568.04,2024-09-19 08:40:00+00:00,2570.5314285714276,full_2r,33.96342387805364,51.247920711312226,12.215162763654808,1.2457142857138024,True
long,2024-09-19 15:33:00+00:00,2587.66,2024-09-19 15:35:00+00:00,2583.8878571428572,stop_loss,11.28402701917921,-46.64987392276973,4.084912002568483,3.772142857142626,False
long,2024-09-20 12:15:00+00:00,2609.42,2024-09-20 12:22:00+00:00,2608.190714285714,stop_loss,34.43602415502816,-54.908876351794774,12.577163801207359,1.2292857142861067,False
long,2024-09-23 13:31:00+00:00,2622.09,2024-09-23 13:48:00+00:00,2622.09,stop_be,28.905270219127516,10.416201285086217,10.612382799328,1.4549999999999272,True
short,2024-09-30 08:05:00+00:00,2655.99,2024-09-30 08:19:00+00:00,2655.99,stop_be,42.13934871005015,5.387061982091218,15.667562605535716,0.9992857142856337,True
short,2024-09-30 14:26:00+00:00,2637.95,2024-09-30 14:32:00+00:00,2640.1957142857145,stop_loss,18.762932022652308,-49.068528732160075,6.932344246995752,2.245714285714712,False
short,2024-10-02 12:11:00+00:00,2653.4,2024-10-02 12:27:00+00:00,2654.6485714285714,stop_loss,33.55101749319937,-54.35717197473615,12.466330133232633,1.2485714285712675,False
short,2024-10-02 14:27:00+00:00,2651.77,2024-10-02 14:40:00+00:00,2651.77,stop_be,29.060687468468128,10.022268368617913,10.787259622197004,1.432142857142935,True
