TOP_CLOSEST_TO_696138_48
_docs_archive/backtest_artifacts/phantom-v2-validate-umPoTI/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-UpUGpu/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-R1TeED/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-kGx3Ri/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-MaBZee/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-VQrcLN/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-rwu2vK/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-hSFp2F/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-giayoO/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-qEOjQr/phantom_v5_1_trades_D.csv|rows=11068|sum_net=18797.71|final_10k=28797.71|qty=(0.006624979988878237,0.051701010185548395,2.1026237913811996)|conf=(None,None,None)
