DIAG|2025-12-02 12:20|M5|C=25389.15|E20=25379.99|E50=25357.14|RSI=59.53|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3743|Zones=11
DIAG|2025-12-02 12:25|M5|C=25403.05|E20=25382.18|E50=25358.94|RSI=65.05|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3743|Zones=11
DIAG|2025-12-02 12:30|M5|C=25409.75|E20=25384.81|E50=25360.94|RSI=67.36|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3644|Zones=11
DIAG|2025-12-02 12:35|M5|C=25410.95|E20=25387.30|E50=25362.90|RSI=67.77|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3644|Zones=11
DIAG|2025-12-02 12:40|M5|C=25424.35|E20=25390.83|E50=25365.31|RSI=72.01|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3644|Zones=11
DIAG|2025-12-02 12:45|M5|C=25425.65|E20=25394.14|E50=25367.67|RSI=72.39|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.6225|Zones=11
DIAG|2025-12-02 12:50|M5|C=25442.25|E20=25398.73|E50=25370.60|RSI=76.73|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.6225|Zones=11
DIAG|2025-12-02 12:55|M5|C=25439.55|E20=25402.61|E50=25373.30|RSI=74.67|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.6225|Zones=11
DIAG|2025-12-02 13:00|M5|C=25429.85|E20=25405.21|E50=25375.52|RSI=67.66|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9795|Zones=11
DIAG|2025-12-02 13:05|M5|C=25443.75|E20=25408.88|E50=25378.20|RSI=71.75|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=22.9795|Zones=11
