<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	02:54:00	25607.95	25608.45	25605.75	25607.55	85	0	140
2025.12.05	02:55:00	25607.45	25608.95	25605.35	25605.35	106	0	140
2025.12.05	02:56:00	25605.45	25607.15	25604.95	25605.45	92	0	140
2025.12.05	02:57:00	25605.65	25609.85	25605.45	25609.85	77	0	140
2025.12.05	02:58:00	25609.45	25611.65	25608.75	25610.15	107	0	140
2025.12.05	02:59:00	25609.95	25612.75	25609.15	25612.45	109	0	140
2025.12.05	03:00:00	25612.95	25622.15	25611.65	25621.65	207	0	140
2025.12.05	03:01:00	25621.45	25622.15	25616.85	25619.55	171	0	150
2025.12.05	03:02:00	25619.65	25622.35	25616.85	25622.15	143	0	160
2025.12.05	03:03:00	25622.25	25629.35	25622.25	25625.05	214	0	160
2025.12.05	03:04:00	25625.45	25626.35	25621.05	25622.45	163	0	170
2025.12.05	03:05:00	25622.75	25625.05	25616.05	25616.75	218	0	170
2025.12.05	03:06:00	25616.85	25620.35	25611.75	25618.35	203	0	170
2025.12.05	03:07:00	25618.55	25621.85	25618.55	25619.85	151	0	170
2025.12.05	03:08:00	25619.95	25621.95	25618.35	25620.05	125	0	160
2025.12.05	03:09:00	25620.25	25622.25	25616.65	25618.25	151	0	160
2025.12.05	03:10:00	25618.15	25621.85	25616.25	25620.05	138	0	160
2025.12.05	03:11:00	25619.65	25621.25	25616.85	25619.25	157	0	160
2025.12.05	03:12:00	25619.55	25621.15	25618.55	25620.65	149	0	150
2025.12.05	03:13:00	25620.55	25621.15	25618.65	25620.35	110	0	150
2025.12.05	03:14:00	25620.15	25621.35	25618.45	25621.35	132	0	150
2025.12.05	03:15:00	25621.95	25624.45	25619.95	25622.15	154	0	150
2025.12.05	03:16:00	25622.35	25624.95	25621.65	25622.65	148	0	150
2025.12.05	03:17:00	25622.85	25623.95	25619.85	25620.15	140	0	150
2025.12.05	03:18:00	25620.35	25620.65	25617.65	25618.15	94	0	150
2025.12.05	03:19:00	25618.35	25622.45	25618.15	25621.95	113	0	150
2025.12.05	03:20:00	25622.15	25623.15	25620.95	25621.65	101	0	150
2025.12.05	03:21:00	25622.15	25624.45	25621.15	25623.85	93	0	150
2025.12.05	03:22:00	25623.45	25629.15	25622.85	25624.65	147	0	140
2025.12.05	03:23:00	25624.45	25625.15	25621.85	25622.35	169	0	150
2025.12.05	03:24:00	25622.15	25626.15	25621.95	25623.95	108	0	150
2025.12.05	03:25:00	25623.65	25626.95	25622.05	25624.45	112	0	150
2025.12.05	03:26:00	25624.55	25625.05	25620.05	25622.85	149	0	150
2025.12.05	03:27:00	25622.05	25627.95	25621.55	25627.65	93	0	150
2025.12.05	03:28:00	25627.15	25629.65	25625.95	25628.95	116	0	150
2025.12.05	03:29:00	25628.65	25629.15	25625.45	25625.45	99	0	150
2025.12.05	03:30:00	25625.05	25627.55	25623.95	25626.65	155	0	150
2025.12.05	03:31:00	25627.15	25632.65	25627.15	25630.75	164	0	150
2025.12.05	03:32:00	25630.85	25631.85	25628.95	25629.05	139	0	150
2025.12.05	03:33:00	25628.95	25629.35	25626.35	25626.65	138	0	150
2025.12.05	03:34:00	25626.45	25627.95	25625.15	25626.95	121	0	150
2025.12.05	03:35:00	25626.65	25628.65	25626.35	25627.15	107	0	150
2025.12.05	03:36:00	25627.25	25628.25	25622.85	25624.65	131	0	140
2025.12.05	03:37:00	25624.95	25627.65	25624.55	25626.95	100	0	140
2025.12.05	03:38:00	25626.45	25632.15	25626.35	25629.95	110	0	150
2025.12.05	03:39:00	25630.15	25630.45	25628.55	25629.55	107	0	150
2025.12.05	03:40:00	25629.95	25632.95	25629.45	25632.45	101	0	150
2025.12.05	03:41:00	25632.35	25635.65	25631.15	25634.45	141	0	150
2025.12.05	03:42:00	25634.55	25639.15	25632.85	25636.65	164	0	140
2025.12.05	03:43:00	25636.85	25637.85	25635.15	25637.45	135	0	150
2025.12.05	03:44:00	25637.35	25637.65	25633.95	25634.45	89	0	150
2025.12.05	03:45:00	25634.35	25635.65	25632.35	25634.65	115	0	150
2025.12.05	03:46:00	25634.95	25636.65	25633.95	25635.15	101	0	150
2025.12.05	03:47:00	25635.35	25637.15	25634.65	25637.15	90	0	150
2025.12.05	03:48:00	25636.55	25640.55	25635.45	25639.35	102	0	150
2025.12.05	03:49:00	25640.05	25640.85	25638.15	25640.75	80	0	140
2025.12.05	03:50:00	25640.85	25641.25	25638.65	25640.75	86	0	140
2025.12.05	03:51:00	25640.65	25641.65	25639.75	25640.45	85	0	140
2025.12.05	03:52:00	25640.75	25641.75	25639.85	25640.25	102	0	140
2025.12.05	03:53:00	25640.35	25640.85	25639.45	25639.75	93	0	130
2025.12.05	03:54:00	25639.65	25639.75	25636.25	25638.75	80	0	130
2025.12.05	03:55:00	25638.95	25639.95	25637.75	25637.95	71	0	140
2025.12.05	03:56:00	25637.75	25637.95	25634.95	25635.95	73	0	140
2025.12.05	03:57:00	25635.45	25638.45	25634.85	25637.45	86	0	140
2025.12.05	03:58:00	25637.35	25638.65	25636.75	25637.95	45	0	140
2025.12.05	03:59:00	25638.45	25640.65	25638.25	25639.75	76	0	130
2025.12.05	04:00:00	25639.85	25641.25	25639.25	25640.45	78	0	140
2025.12.05	04:01:00	25640.25	25644.75	25639.75	25643.95	88	0	140
2025.12.05	04:02:00	25643.75	25644.75	25640.15	25640.45	86	0	140
2025.12.05	04:03:00	25640.55	25641.15	25637.45	25640.05	103	0	140
2025.12.05	04:04:00	25639.95	25640.65	25637.65	25639.15	77	0	150
2025.12.05	04:05:00	25639.45	25645.45	25638.65	25645.15	114	0	150
2025.12.05	04:06:00	25645.45	25647.85	25644.45	25647.15	82	0	150
2025.12.05	04:07:00	25647.45	25648.15	25645.45	25646.15	101	0	150
2025.12.05	04:08:00	25646.05	25648.05	25645.05	25647.95	97	0	150
2025.12.05	04:09:00	25647.55	25648.45	25647.35	25648.45	72	0	150
2025.12.05	04:10:00	25648.05	25648.45	25643.75	25643.75	71	0	140
2025.12.05	04:11:00	25643.65	25644.75	25642.35	25643.75	85	0	140
2025.12.05	04:12:00	25643.85	25647.45	25643.45	25644.75	81	0	130
2025.12.05	04:13:00	25644.95	25647.25	25644.25	25644.95	71	0	130
2025.12.05	04:14:00	25645.05	25649.95	25644.75	25649.85	83	0	130
2025.12.05	04:15:00	25649.75	25654.75	25649.75	25650.85	137	0	140
2025.12.05	04:16:00	25650.75	25650.85	25646.85	25648.65	103	0	140
2025.12.05	04:17:00	25648.75	25651.45	25647.75	25651.45	96	0	140
2025.12.05	04:18:00	25651.35	25654.85	25651.35	25653.45	95	0	150
2025.12.05	04:19:00	25653.15	25655.05	25652.95	25652.95	84	0	150
2025.12.05	04:20:00	25653.15	25655.45	25651.65	25653.75	82	0	140
2025.12.05	04:21:00	25653.45	25654.45	25652.75	25653.75	54	0	140
2025.12.05	04:22:00	25653.85	25653.85	25649.95	25649.95	74	0	130
2025.12.05	04:23:00	25650.25	25651.45	25649.45	25650.15	70	0	130
2025.12.05	04:24:00	25650.75	25653.25	25650.75	25653.25	64	0	130
2025.12.05	04:25:00	25652.75	25656.55	25652.75	25655.95	81	0	130
2025.12.05	04:26:00	25656.05	25661.15	25655.95	25659.15	148	0	130
2025.12.05	04:27:00	25659.35	25662.95	25659.35	25661.15	108	0	150
2025.12.05	04:28:00	25660.95	25667.65	25660.65	25663.35	138	0	150
2025.12.05	04:29:00	25663.65	25670.75	25663.65	25669.55	134	0	160
2025.12.05	04:30:00	25669.35	25669.35	25662.85	25663.35	144	0	160
2025.12.05	04:31:00	25663.05	25664.65	25660.35	25661.15	114	0	160
2025.12.05	04:32:00	25661.05	25661.65	25656.55	25658.25	133	0	160
2025.12.05	04:33:00	25658.15	25658.35	25656.05	25657.85	97	0	160
2025.12.05	04:34:00	25657.75	25658.85	25655.75	25657.15	79	0	160
2025.12.05	04:35:00	25656.85	25656.95	25653.45	25654.15	94	0	150
2025.12.05	04:36:00	25654.05	25654.85	25653.15	25653.45	106	0	140
2025.12.05	04:37:00	25653.65	25655.35	25652.65	25652.75	57	0	140
2025.12.05	04:38:00	25653.35	25657.75	25652.85	25655.15	136	0	140
2025.12.05	04:39:00	25654.95	25656.45	25653.15	25654.15	121	0	140
2025.12.05	04:40:00	25654.95	25656.15	25653.35	25655.45	90	0	150
2025.12.05	04:41:00	25655.55	25656.75	25652.95	25652.95	72	0	140
2025.12.05	04:42:00	25652.85	25654.25	25652.15	25652.25	76	0	140
2025.12.05	04:43:00	25651.95	25655.35	25651.95	25654.45	68	0	140
2025.12.05	04:44:00	25654.35	25655.45	25653.45	25654.25	52	0	140
2025.12.05	04:45:00	25654.35	25655.85	25653.35	25655.25	69	0	130
2025.12.05	04:46:00	25654.45	25654.75	25651.85	25652.45	46	0	140
2025.12.05	04:47:00	25652.95	25653.45	25651.25	25652.45	66	0	140
2025.12.05	04:48:00	25652.95	25652.95	25650.45	25651.75	69	0	130
2025.12.05	04:49:00	25651.55	25652.75	25651.45	25652.25	51	0	130
2025.12.05	04:50:00	25652.65	25654.65	25652.45	25652.95	68	0	130
2025.12.05	04:51:00	25652.75	25652.75	25650.45	25651.15	56	0	130
2025.12.05	04:52:00	25651.25	25652.05	25650.35	25650.95	68	0	130
2025.12.05	04:53:00	25651.05	25651.75	25649.45	25650.55	55	0	130
2025.12.05	04:54:00	25650.75	25650.75	25648.55	25649.25	44	0	130
2025.12.05	04:55:00	25648.55	25649.25	25644.45	25644.45	84	0	130
2025.12.05	04:56:00	25643.85	25643.85	25641.95	25643.25	96	0	140
2025.12.05	04:57:00	25642.95	25643.25	25640.45	25640.65	83	0	140
2025.12.05	04:58:00	25640.75	25645.45	25640.75	25644.75	83	0	140
2025.12.05	04:59:00	25644.85	25647.25	25644.65	25647.25	79	0	140
2025.12.05	05:00:00	25646.95	25653.25	25646.95	25647.75	144	0	140
2025.12.05	05:01:00	25647.45	25647.85	25644.35	25647.65	89	0	140
