branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test2,full,2016-01,-541.54,-0.723
p2_filter_test2,full,2016-02,-908.36,-1.213
p2_filter_test2,full,2016-03,-567.1,-0.757
p2_filter_test2,full,2016-04,-1001.19,-1.33
p2_filter_test2,full,2016-05,-957.48,-1.271
p2_filter_test2,full,2016-06,-315.26,-0.418
p2_filter_test2,full,2016-07,-670.58,-0.854
p2_filter_test2,full,2016-08,-687.55,-0.875
p2_filter_test2,full,2016-09,-741.0,-0.943
p2_filter_test2,full,2016-10,-266.83,-0.335
p2_filter_test2,full,2016-11,-888.88,-1.115
p2_filter_test2,full,2016-12,-688.03,-0.861
p2_filter_test2,full,2017-01,-961.15,-1.203
p2_filter_test2,full,2017-02,-213.81,-0.261
p2_filter_test2,full,2017-03,-348.55,-0.418
p2_filter_test2,full,2017-04,-415.17,-0.488
p2_filter_test2,full,2017-05,-377.0,-0.444
p2_filter_test2,full,2017-06,-790.21,-0.909
p2_filter_test2,full,2017-07,-917.42,-1.045
p2_filter_test2,full,2017-08,-895.82,-1.02
p2_filter_test2,full,2017-09,-601.57,-0.658
p2_filter_test2,full,2017-10,-908.89,-0.977
p2_filter_test2,full,2017-11,-417.62,-0.435
p2_filter_test2,full,2017-12,-349.55,-0.349
p2_filter_test2,full,2018-01,-592.74,-0.583
p2_filter_test2,full,2018-02,-507.01,-0.491
p2_filter_test2,full,2018-03,-551.79,-0.521
p2_filter_test2,full,2018-04,-1189.0,-1.109
p2_filter_test2,full,2018-05,-1048.84,-0.978
p2_filter_test2,full,2018-06,-834.49,-0.769
p2_filter_test2,full,2018-07,-840.16,-0.746
p2_filter_test2,full,2018-08,-1007.45,-0.848
p2_filter_test2,full,2018-09,-1321.84,-1.112
p2_filter_test2,full,2018-10,-519.24,-0.419
p2_filter_test2,full,2018-11,-1080.11,-0.838
p2_filter_test2,full,2018-12,-856.21,-0.664
p2_filter_test2,full,2019-01,-886.4,-0.666
p2_filter_test2,full,2019-02,-620.62,-0.445
p2_filter_test2,full,2019-03,-303.5,-0.216
p2_filter_test2,full,2019-04,-801.32,-0.56
p2_filter_test2,full,2019-05,-644.14,-0.447
p2_filter_test2,full,2019-06,-842.76,-0.539
p2_filter_test2,full,2019-07,-3360.38,-2.116
p2_filter_test2,full,2019-08,-2991.03,-1.883
p2_filter_test2,full,2019-09,-3329.38,-1.994
p2_filter_test2,full,2019-10,-1646.26,-0.973
p2_filter_test2,full,2019-11,-1023.46,-0.598
p2_filter_test2,full,2019-12,-1242.97,-0.717
p2_filter_test2,full,2020-01,-1837.65,-1.056
p2_filter_test2,full,2020-02,-4222.18,-2.416
p2_filter_test2,full,2020-03,-2583.11,-1.478
p2_filter_test2,full,2020-04,-3082.5,-1.764
p2_filter_test2,full,2020-05,-1330.74,-0.756
p2_filter_test2,full,2020-06,-1156.35,-0.624
p2_filter_test2,full,2020-07,-543.15,-0.28
p2_filter_test2,full,2020-08,-790.86,-0.392
p2_filter_test2,full,2020-09,-2950.33,-1.422
p2_filter_test2,full,2020-10,-2949.96,-1.422
p2_filter_test2,full,2020-11,-860.33,-0.405
p2_filter_test2,full,2020-12,-4323.87,-1.931
p2_filter_test2,full,2021-01,-2699.64,-1.204
p2_filter_test2,full,2021-02,-1662.93,-0.706
p2_filter_test2,full,2021-03,-5273.97,-2.239
p2_filter_test2,full,2021-04,-4407.28,-1.871
p2_filter_test2,full,2021-05,-1855.53,-0.743
p2_filter_test2,full,2021-06,-3992.89,-1.588
p2_filter_test2,full,2021-07,-3675.07,-1.446
p2_filter_test2,full,2021-08,-7712.68,-3.034
p2_filter_test2,full,2021-09,-5295.81,-2.083
p2_filter_test2,full,2021-10,-3905.66,-1.426
p2_filter_test2,full,2021-11,-4574.59,-1.67
p2_filter_test2,full,2021-12,-4470.39,-1.632
p2_filter_test2,full,2022-01,-3341.18,-1.136
p2_filter_test2,full,2022-02,-3492.42,-1.187
p2_filter_test2,full,2022-03,-1453.55,-0.487
p2_filter_test2,full,2022-04,-1210.82,-0.406
p2_filter_test2,full,2022-05,-1507.71,-0.492
p2_filter_test2,full,2022-06,-2531.32,-0.767
p2_filter_test2,full,2022-07,-2344.36,-0.704
p2_filter_test2,full,2022-08,-4839.41,-1.428
p2_filter_test2,full,2022-09,-5010.14,-1.479
p2_filter_test2,full,2022-10,-5540.65,-1.577
