branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test2,full,2020-08,3890.06,8.645,200994.95,-790.86,-0.392
p2_filter_test2,full,2020-09,3572.28,7.938,204567.22,-2950.33,-1.422
p2_filter_test2,full,2020-10,4144.82,9.211,208712.05,0.0,0.0
p2_filter_test2,full,2020-11,6735.23,14.967,215447.27,0.0,0.0
p2_filter_test2,full,2020-12,8416.01,18.702,223863.29,-328.85,-0.147
p2_filter_test2,full,2021-01,4889.37,10.865,228752.66,-976.82,-0.425
p2_filter_test2,full,2021-02,5083.92,11.298,233836.58,-1662.93,-0.706
p2_filter_test2,full,2021-03,-2881.31,-6.403,230955.26,-4544.24,-1.93
p2_filter_test2,full,2021-04,9746.53,21.659,240701.79,-972.42,-0.402
p2_filter_test2,full,2021-05,7302.93,16.229,248004.73,-1855.53,-0.743
p2_filter_test2,full,2021-06,5624.31,12.498,253629.04,-4.18,-0.002
p2_filter_test2,full,2021-07,-2916.63,-6.481,250712.41,-3528.88,-1.388
p2_filter_test2,full,2021-08,-461.09,-1.025,250251.32,-3989.97,-1.569
p2_filter_test2,full,2021-09,18388.12,40.862,268639.44,-37.99,-0.014
p2_filter_test2,full,2021-10,1574.48,3.499,270213.93,-3658.88,-1.336
p2_filter_test2,full,2021-11,-150.19,-0.334,270063.73,-3809.07,-1.391
p2_filter_test2,full,2021-12,12404.96,27.567,282468.69,0.0,0.0
p2_filter_test2,full,2022-01,9680.64,21.513,292149.33,-1996.91,-0.679
p2_filter_test2,full,2022-02,1851.21,4.114,294000.54,-221.99,-0.075
p2_filter_test2,full,2022-03,4141.13,9.203,298141.66,-156.24,-0.052
p2_filter_test2,full,2022-04,5509.73,12.244,303651.39,0.0,0.0
p2_filter_test2,full,2022-05,2818.26,6.263,306469.65,-1319.3,-0.429
p2_filter_test2,full,2022-06,25805.65,57.346,332275.3,-616.25,-0.185
p2_filter_test2,full,2022-07,4261.99,9.471,336537.29,-2279.48,-0.673
p2_filter_test2,full,2022-08,133.88,0.298,336671.18,-2145.6,-0.633
p2_filter_test2,full,2022-09,10434.48,23.188,347105.65,-4263.24,-1.213
p2_filter_test2,full,2022-10,-338.63,-0.753,346767.02,-4601.88,-1.31
p2_filter_test2,full,2022-11,4853.22,10.785,351620.24,-195.42,-0.056
p2_filter_test2,full,2022-12,20005.71,44.457,371625.95,-1087.77,-0.292
p2_filter_test2,full,2023-01,22560.13,50.134,394186.08,-10.48,-0.003
p2_filter_test2,full,2023-02,5471.3,12.158,399657.38,-4424.65,-1.095
p2_filter_test2,full,2023-03,13503.98,30.009,413161.36,-3660.55,-0.878
p2_filter_test2,full,2023-04,32310.37,71.801,445471.73,0.0,0.0
p2_filter_test2,full,2023-05,10811.85,24.026,456283.59,-247.72,-0.054
p2_filter_test2,full,2023-06,23868.44,53.041,480152.03,-1639.96,-0.34
p2_filter_test2,full,2023-07,20822.58,46.272,500974.61,0.0,0.0
p2_filter_test2,full,2023-08,10318.21,22.929,511292.82,-2.54,-0.0
p2_filter_test2,full,2023-09,16624.74,36.944,527917.57,-3942.17,-0.741
p2_filter_test2,full,2023-10,-1840.05,-4.089,526077.52,-5782.22,-1.087
p2_filter_test2,full,2023-11,-6399.23,-14.221,519678.28,-12181.45,-2.29
p2_filter_test2,full,2023-12,3259.93,7.244,522938.21,-8921.53,-1.677
p2_filter_test2,full,2024-01,28118.26,62.485,551056.47,0.0,0.0
p2_filter_test2,full,2024-02,31385.52,69.746,582441.99,0.0,0.0
p2_filter_test2,full,2024-03,2315.51,5.146,584757.5,-434.82,-0.074
p2_filter_test2,full,2024-04,983.22,2.185,585740.73,-4874.88,-0.825
p2_filter_test2,full,2024-05,2283.46,5.074,588024.19,-2591.41,-0.439
p2_filter_test2,full,2024-06,17823.6,39.608,605847.79,0.0,0.0
p2_filter_test2,full,2024-07,21252.99,47.229,627100.78,-2410.99,-0.383
p2_filter_test2,full,2024-08,44849.96,99.667,671950.73,-529.2,-0.079
p2_filter_test2,full,2024-09,22079.02,49.064,694029.76,-4058.62,-0.581
p2_filter_test2,full,2024-10,32388.73,71.975,726418.48,0.0,0.0
p2_filter_test2,full,2024-11,2750.52,6.112,729169.0,-11269.82,-1.522
p2_filter_test2,full,2024-12,14506.21,32.236,743675.21,-369.33,-0.05
p2_filter_test2,full,2025-01,35622.38,79.161,779297.58,0.0,0.0
p2_filter_test2,full,2025-02,24494.19,54.432,803791.77,-3291.34,-0.408
p2_filter_test2,full,2025-03,19135.26,42.523,822927.03,-814.77,-0.099
p2_filter_test2,full,2025-04,53456.53,118.792,876383.56,-885.46,-0.101
p2_filter_test2,full,2025-05,20125.41,44.723,896508.97,-4652.47,-0.516
p2_filter_test2,full,2025-06,25858.15,57.463,922367.12,-2263.52,-0.245
p2_filter_test2,full,2025-07,62911.6,139.804,985278.72,0.0,0.0
p2_filter_test2,full,2025-08,22179.28,49.287,1007458.0,-5896.04,-0.582
p2_filter_test2,full,2025-09,6726.67,14.948,1014184.67,-684.31,-0.067
p2_filter_test2,full,2025-10,34105.86,75.791,1048290.53,-1641.92,-0.156
p2_filter_test2,full,2025-11,44101.42,98.003,1092391.95,-137.52,-0.013
p2_filter_test2,full,2025-12,-1764.25,-3.921,1090627.7,-3784.48,-0.346
p2_filter_test2,full,2026-01,-6467.1,-14.371,1084160.6,-10251.58,-0.937
p2_filter_test2,full,2026-02,9543.73,21.208,1093704.32,-5949.85,-0.541
p2_filter_test2,full,2026-03,23524.27,52.276,1117228.59,-70.4,-0.006
p2_filter_test3,full,2011-09,17.02,0.038,45017.02,-44.01,-0.098
p2_filter_test3,full,2011-10,189.98,0.422,45207.0,-77.67,-0.172
p2_filter_test3,full,2011-11,59.19,0.132,45266.18,-261.86,-0.575
p2_filter_test3,full,2011-12,-100.56,-0.223,45165.63,-362.42,-0.796
p2_filter_test3,full,2012-01,-39.43,-0.088,45126.2,-401.84,-0.883
p2_filter_test3,full,2012-02,545.61,1.212,45671.81,0.0,0.0
p2_filter_test3,full,2012-03,-40.85,-0.091,45630.96,-152.13,-0.332
p2_filter_test3,full,2012-04,93.53,0.208,45724.49,-58.6,-0.128
p2_filter_test3,full,2012-05,132.69,0.295,45857.18,-160.39,-0.349
p2_filter_test3,full,2012-06,730.68,1.624,46587.86,0.0,0.0
p2_filter_test3,full,2012-07,491.82,1.093,47079.68,-80.71,-0.171
p2_filter_test3,full,2012-08,597.28,1.327,47676.96,-55.22,-0.116
p2_filter_test3,full,2012-09,613.59,1.364,48290.54,0.0,0.0
p2_filter_test3,full,2012-10,-122.09,-0.271,48168.45,-219.15,-0.453
p2_filter_test3,full,2012-11,167.53,0.372,48335.98,-148.55,-0.306
