ts,dir,price,volume,profit,comment,source
2026-01-09 15:05:00,long,25563.25,0.95,0.00,P2_B|LONG|S=8|ATR=110.14500|REG,mt5_old_report
2026-01-09 16:20:00,long,25560.05,0.73,0.00,P2_B|LONG|S=6|ATR=114.83071|REG,mt5_old_report
2026-01-09 16:22:27,short,25546.8,0.95,-15.63,sl 25546.83,mt5_old_report
2026-01-09 17:07:39,short,25486.94,0.73,-53.37,sl 25487.04,mt5_old_report
2026-01-12 16:15:00,short,25571.75,0.51,0.00,P2_B|SHORT|S=5|ATR=121.97357|RE,mt5_old_report
2026-01-12 16:31:39,long,25653.77,0.51,-41.83,sl 25653.43,mt5_old_report
2026-01-13 17:50:00,short,25646.93,0.45,0.00,P2_B|SHORT|S=6|ATR=137.81071|RE,mt5_old_report
2026-01-13 18:49:42,long,25831.1,0.45,-82.88,sl 25830.98,mt5_old_report
2026-01-13 21:10:00,short,25660.73,0.37,0.00,P2_B|SHORT|S=6|ATR=137.36071|RE,mt5_old_report
2026-01-13 22:30:00,short,25662.23,0.37,0.00,P2_B|SHORT|S=6|ATR=137.47500|RE,mt5_old_report
2026-01-13 23:00:40,long,25759.56,0.37,-36.57,sl 25759.52,mt5_old_report
2026-01-13 23:00:40,long,25759.7,0.37,-36.06,sl 25759.61,mt5_old_report
2026-01-14 15:10:00,short,25612.75,0.46,0.00,P2_B|SHORT|S=6|ATR=110.33714|RE,mt5_old_report
2026-01-14 16:35:00,short,25616.73,0.36,0.00,P2_B|SHORT|S=6|ATR=110.59429|RE,mt5_old_report
2026-01-14 16:40:00,long,25534.58,0.36,29.57,,mt5_old_report
2026-01-14 16:40:00,long,25534.58,0.46,35.96,,mt5_old_report
2026-01-15 17:50:00,long,25664.58,0.84,0.00,P2_B|LONG|S=7|ATR=146.62214|REG,mt5_old_report
2026-01-15 21:05:00,long,25682.33,0.73,0.00,P2_B|LONG|S=7|ATR=140.56143|REG,mt5_old_report
2026-01-15 21:23:37,short,25657.63,0.84,-5.84,sl 25657.63,mt5_old_report
2026-01-15 22:00:24,short,25578.17,0.73,-76.04,sl 25578.18,mt5_old_report
2026-01-16 15:50:00,long,25671.95,0.74,0.00,P2_B|LONG|S=7|ATR=136.59143|REG,mt5_old_report
2026-01-16 16:45:00,long,25665.78,0.58,0.00,P2_B|LONG|S=7|ATR=138.54857|REG,mt5_old_report
2026-01-16 16:56:32,short,25602.71,0.74,-51.24,sl 25602.78,mt5_old_report
2026-01-16 17:14:42,short,25553.98,0.58,-64.84,sl 25553.99,mt5_old_report
2026-01-21 17:25:00,long,25216.18,0.74,0.00,P2_B|LONG|S=6|ATR=161.92143|REG,mt5_old_report
2026-01-21 18:10:00,long,25311.73,0.71,0.00,P2_B|LONG|S=7|ATR=169.86786|REG,mt5_old_report
2026-01-21 18:38:28,short,25210.93,0.74,-3.89,sl 25211.04,mt5_old_report
2026-01-21 18:41:42,short,25179.39,0.71,-93.96,sl 25179.44,mt5_old_report
2026-01-22 18:45:00,long,25540.58,0.62,0.00,P2_B|LONG|S=7|ATR=191.15786|REG,mt5_old_report
